Data from black_metal_pc_casing_FLMS001491_00026.txt Node
Date: Wed Feb 08 14:32:15 GMT 2017
User: dcchb
Spectrometer: FLMS00149
Trigger mode: 0
Integration Time (sec): 2.000000E-2
Scans to average: 10
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 0
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 2048
>>>>>Begin Spectral Data<<<<<
341.393	-10.9
341.776	-10.9
342.16	-10.9
342.543	-60.62
342.927	-45.48
343.31	-57.46
343.693	-86.83
344.077	-66.72
344.46	-68.76
344.843	-42.77
345.226	-28.76
345.61	-49.77
345.993	-13.39
346.376	-0.06
346.759	16.21
347.142	27.29
347.525	37.46
347.908	48.3
348.291	80.85
348.674	92.37
349.057	112.03
349.44	120.39
349.823	124.69
350.206	160.39
350.588	185.48
350.971	198.58
351.354	210.79
351.737	244.23
352.119	236.55
352.502	253.27
352.884	268.19
353.267	275.64
353.65	316.09
354.032	309.31
354.414	306.6
354.797	300.95
355.179	312.03
355.562	319.71
355.944	325.58
356.326	304.79
356.709	333.04
357.091	333.04
357.473	329.65
357.855	330.33
358.238	332.14
358.62	321.07
359.002	324.23
359.384	336.66
359.766	336.66
360.148	322.87
360.53	337.79
360.912	330.1
361.294	329.65
361.676	306.83
362.057	325.58
362.439	331.91
362.821	335.75
363.203	336.21
363.584	307.96
363.966	326.94
364.348	321.29
364.729	315.64
365.111	318.13
365.493	305.02
365.874	302.53
366.256	325.13
366.637	316.09
367.019	299.37
367.4	322.65
367.781	320.61
368.163	322.65
368.544	336.43
368.925	314.51
369.306	329.88
369.688	300.27
370.069	316.77
370.45	315.64
370.831	322.87
371.212	307.96
371.593	331.23
371.974	312.48
372.355	330.78
372.736	324.68
373.117	326.49
373.498	304.12
373.879	334.62
374.26	315.64
374.641	322.19
375.021	314.96
375.402	330.56
375.783	324.45
376.163	336.88
376.544	322.65
376.925	340.73
377.305	313.16
377.686	317.9
378.066	319.71
378.447	334.17
378.827	328.52
379.208	333.72
379.588	326.71
379.968	338.92
380.349	355.41
380.729	340.27
381.109	338.01
381.489	327.39
381.87	345.92
382.25	353.15
382.63	346.83
383.01	361.74
383.39	343.44
383.77	346.38
384.15	354.06
384.53	340.73
384.91	329.43
385.29	368.97
385.67	352.93
386.049	352.48
386.429	353.38
386.809	346.15
387.189	353.83
387.568	368.07
387.948	375.53
388.328	362.65
388.707	345.47
389.087	356.77
389.466	382.08
389.846	382.53
390.225	372.82
390.605	376.88
390.984	397
391.363	380.72
391.743	400.38
392.122	392.48
392.501	395.64
392.881	406.03
393.26	408.97
393.639	394.74
394.018	384.79
394.397	415.53
394.776	412.59
395.155	421.4
395.534	397.9
395.913	402.64
396.292	422.76
396.671	415.75
397.05	409.65
397.429	413.49
397.808	416.43
398.186	427.73
398.565	427.05
398.944	393.61
399.323	425.92
399.701	424.79
400.08	421.85
400.458	437.67
400.837	422.31
401.215	426.6
401.594	436.99
401.972	428.63
402.351	450.33
402.729	451.91
403.107	471.34
403.486	448.52
403.864	426.37
404.242	443.55
404.62	440.38
404.999	456.43
405.377	469.99
405.755	447.39
406.133	438.8
406.511	461.63
406.889	479.7
407.267	477.67
407.645	483.77
408.023	507.73
408.401	502.98
408.779	483.32
409.156	484.45
409.534	491.68
409.912	502.98
410.29	475.64
410.667	503.43
411.045	495.98
411.422	509.76
411.8	513.15
412.178	548.18
412.555	540.95
412.933	536.65
413.31	541.4
413.687	529.65
414.065	544.11
414.442	561.96
414.819	540.04
415.197	552.25
415.574	568.74
415.951	559.25
416.328	565.13
416.705	556.09
417.082	548.86
417.46	574.84
417.837	568.29
418.214	572.13
418.591	568.06
418.967	595.86
419.344	585.69
419.721	606.93
420.098	591.11
420.475	591.11
420.852	594.05
421.228	612.13
421.605	607.61
421.982	624.79
422.358	623.66
422.735	598.35
423.111	632.92
423.488	649.19
423.864	652.81
424.241	636.31
424.617	629.08
424.994	634.73
425.37	657.33
425.746	665.24
426.123	659.59
426.499	657.1
426.875	667.72
427.251	688.51
427.627	692.13
428.003	670.89
428.379	696.42
428.756	704.78
429.132	704.56
429.507	699.13
429.883	705.01
430.259	723.31
430.635	724.44
431.011	731.68
431.387	732.81
431.763	766.48
432.138	749.3
432.514	781.84
432.89	762.86
433.265	771.22
433.641	756.08
434.016	783.88
434.392	795.63
434.767	812.13
435.143	818
435.518	849.86
435.894	840.15
436.269	829.98
436.644	841.96
437.02	854.38
437.395	831.11
437.77	870.66
438.145	857.32
438.52	883.08
438.895	875.63
439.271	873.82
439.646	912.69
440.021	926.25
440.395	914.5
440.77	907.49
441.145	920.82
441.52	929.64
441.895	932.57
442.27	930.99
442.645	941.16
443.019	950.65
443.394	919.69
443.769	955.17
444.143	921.28
444.518	973.03
444.892	973.48
445.267	987.49
445.641	965.79
446.016	977.09
446.39	1004.21
446.764	1003.98
447.139	991.33
447.513	1020.48
447.887	1007.37
448.262	1018
448.636	1008.05
449.01	1019.58
449.384	1029.29
449.758	1040.37
450.132	1071.1
450.506	1055.73
450.88	1046.7
451.254	1099.8
451.628	1048.28
452.002	1097.99
452.376	1094.83
452.75	1115.17
453.123	1091.44
453.497	1142.06
453.871	1127.82
454.244	1148.61
454.618	1167.14
454.992	1159.69
455.365	1174.15
455.739	1176.18
456.112	1201.72
456.486	1182.96
456.859	1227.48
457.232	1250.76
457.606	1265.22
457.979	1265.9
458.352	1264.32
458.725	1281.72
459.099	1313.13
459.472	1337.76
459.845	1321.49
460.218	1365.33
460.591	1364.2
460.964	1375.5
461.337	1370.75
